author,text,likes,video_id
@QuinnSilly_Goose,"Ppl obsessed with this song in 2026
👇",0,dQw4w9WgXcQ
@AverageShadowYes,well played gdcolon. well played.,0,dQw4w9WgXcQ
@PetrMizera,I got rickrolled by qr code,0,dQw4w9WgXcQ
@WERTMAI,Someone in july/2026,43,dQw4w9WgXcQ
@Blad2580,I love temu,0,dQw4w9WgXcQ
@RealBaconboy-Robloxつぬぬ,0:46 NEVER GONNA LET YOU DOWN,0,dQw4w9WgXcQ
@jiveedramnarase705,If you clicked on this you WILLFULLY chose to rick roll yourself,0,dQw4w9WgXcQ
@zoinkfurry1,Wheres the free robux,0,dQw4w9WgXcQ
@zoinkfurry1,This isnt robux,0,dQw4w9WgXcQ
@어나어구냐,00:01,4,dQw4w9WgXcQ
@Liskas-v6d,1 700 000 000 000 wow,0,dQw4w9WgXcQ
@iguro_obanai-n-o7n,Well I told chatgpt to tell a famouse link and I got rickrolled,0,dQw4w9WgXcQ
@pedrapolijanna9996,"Vim pelo jogo de terror do Max mrm, tinha um QR Code que me direcionou pra cá kkkk",0,dQw4w9WgXcQ
@sumanbala7985,I got rickrolled 😂😂,0,dQw4w9WgXcQ
@JavierBarroso-m2h,Uwu,0,dQw4w9WgXcQ
@georgemikadze7234,I love this song,0,dQw4w9WgXcQ
@cra6too,"I got rick rolled because my brother sent me a QR code, I scaned it and......😂😂😂😂😂😂🤣🤣🤣🤣🤣",0,dQw4w9WgXcQ
@8q-r24,L MY FRIEND RUINED MY 16Y STREAK,1,dQw4w9WgXcQ
@angelakerketta9579,Bruh what was that?,0,dQw4w9WgXcQ
@DavidVOLLEYGuy,A fcking pinterest 10 mil rbx code was this?,0,dQw4w9WgXcQ
@TARKANBRADAR,but the link said free robux,0,dQw4w9WgXcQ
@Ghostcat69w,Just dance ❤,0,dQw4w9WgXcQ
@marinaguilherme8042,Good old days !,0,dQw4w9WgXcQ
@N00BYFRR,FUUUUUUUUUUUUUUUUUUUUUUUCK,0,dQw4w9WgXcQ
@PakH-dj6cb,He is so annoying,0,dQw4w9WgXcQ
@TamásFodor-t6x,Tiszteletem barthal András hajrá bunvadaszok hajrá mihazank 💪💪🇭🇺🇭🇺🇭🇺❤️❤️❤️🤍🤍🤍💚💚💚🤝🤝🤝✌️✌️💯💯🙏🙏🫡🫡🫡🫡🤩🤩🤩🥰🥰🥰🥳🥳🥳💐💐💐💐💐,0,dQw4w9WgXcQ
@dan_irl,I got Rick rolled on GarageBand 🎸,0,dQw4w9WgXcQ
@НинаП-я2ь,Я подпишусь только за айди,0,dQw4w9WgXcQ
@НинаП-я2ь,Id уровня скажи его нет в описании,0,dQw4w9WgXcQ
@thebestbadgehunter,gonna put this in a future arg,1,dQw4w9WgXcQ
@gpubenchmarkingguy,who came here from tryhackme?,2,dQw4w9WgXcQ
